 TIME                    	Electric                 	Cooling                  	Heating                  	Dehumidification         	
 HOURS              	kWh                 	kWh                 	kWh                 	kWh                 	
  +8.1120000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0856105000000025E+04	  +1.0015300000000005E+04	
  +8.1130000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.0901640000000029E+04	  +1.0015300000000005E+04	
  +8.1140000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1003735000000030E+04	  +1.0015300000000005E+04	
  +8.1150000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1117660000000033E+04	  +1.0015300000000005E+04	
  +8.1160000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1233195000000036E+04	  +1.0015300000000005E+04	
  +8.1170000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1350070000000036E+04	  +1.0015300000000005E+04	
  +8.1180000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1466980000000040E+04	  +1.0015300000000005E+04	
  +8.1190000000000000E+03	  +4.1577639480325597E+04	  +1.8324247499999966E+05	  +4.1580345000000038E+04	  +1.0015300000000005E+04	
  +8.1200000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1210000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1220000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1230000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1240000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1250000000000000E+03	  +4.1598658396401719E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1260000000000000E+03	  +4.1619677351211358E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1270000000000000E+03	  +4.1619677351211358E+04	  +1.8324247499999966E+05	  +4.1635505000000041E+04	  +1.0015300000000005E+04	
  +8.1280000000000000E+03	  +4.1619677351211358E+04	  +1.8324247499999966E+05	  +4.1635555000000044E+04	  +1.0015300000000005E+04	
  +8.1290000000000000E+03	  +4.1619677351211358E+04	  +1.8324247499999966E+05	  +4.1635695000000043E+04	  +1.0015300000000005E+04	
  +8.1300000000000000E+03	  +4.1619677351211358E+04	  +1.8324247499999966E+05	  +4.1635785000000040E+04	  +1.0015300000000005E+04	
  +8.1310000000000000E+03	  +4.1638217175905425E+04	  +1.8324247499999966E+05	  +4.1635785000000040E+04	  +1.0015300000000005E+04	
  +8.1320000000000000E+03	  +4.1638217175905425E+04	  +1.8324247499999966E+05	  +4.1635785000000040E+04	  +1.0015300000000005E+04	
  +8.1330000000000000E+03	  +4.1638217175905425E+04	  +1.8324247499999966E+05	  +4.1635840000000040E+04	  +1.0015300000000005E+04	
  +8.1340000000000000E+03	  +4.1638217175905425E+04	  +1.8324247499999966E+05	  +4.1635985000000037E+04	  +1.0015300000000005E+04	
